Регион РФ;Административный район;Населённый пункт;Улица;Плановое начало отключения Дата;Плановое начало отключения Время;Плановое восстановление Дата;Плановое восстановление Время;Филиал;РЭС;Комментарий
Санкт-Петербург;Выборгский район (СПб);п.Левашово;Санкт-Петербург,  Левашово п,  Горское ш,  71,  1 Санкт-Петербург,  Левашово п,  Горское ш,  51 Санкт-Петербург,  Левашово п,  Горское ш,  63 Санкт-Петербург,  Левашово п,  Горское ш,  67 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  12,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  20,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  26,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  16 Санкт-Петербург,  Левашово п,  Дружбы ул,  3 Санкт-Петербург,  Левашово п,  Дружбы ул,  4 Санкт-Петербург,  Левашово п,  Дружбы ул,  5 Санкт-Петербург,  Левашово п,  Дружбы ул,  6 Санкт-Петербург,  Левашово п,  Ленинградское ш,  22,  А Санкт-Петербург,  Левашово п,  Труда ул,  4 Санкт-Петербург,  Левашово п,  Труда ул,  5 Санкт-Петербург,  Левашово п,  Труда ул,  6,  а,  А Санкт-Петербург,  Левашово п,  Труда ул,  6,  а,  А Санкт-Петербург,  Левашово п,  Труда ул,  8 Санкт-Петербург,  Левашово п,  Труда ул,  9 Санкт-Петербург,  Левашово п,  Труда ул,  11 Санкт-Петербург,  Левашово п,  Труда ул,  14 Санкт-Петербург,  Левашово п,  Труда ул,  15 Санкт-Петербург,  Левашово п,  Труда ул,  16,  А Санкт-Петербург,  Левашово п,  Труда ул,  16,  А Санкт-Петербург,  Левашово п,  Труда ул,  18,  А Санкт-Петербург,  Левашово п,  Труда ул,  22,  А Санкт-Петербург,  Левашово п,  Труда ул,  23 Санкт-Петербург,  Левашово п,  Труда ул,  25,  А Санкт-Петербург,  Левашово п,  Труда ул,  26,  А Санкт-Петербург,  Левашово п,  Труда ул,  34 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  29,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  31,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  33,  А Санкт-Петербург,  Левашово п,  Труда ул,  3 Санкт-Петербург,  Левашово п,  Горское ш,  71,  8 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  6,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  9,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  11,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  22,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  25,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  28,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  28,  А Санкт-Петербург,  Левашово п,  Горское ш,  59 Санкт-Петербург,  Левашово п,  Горское ш,  59 Санкт-Петербург,  Левашово п,  Горское ш,  63,  А Санкт-Петербург,  Левашово п,  Горское ш,  69,  А Санкт-Петербург,  Левашово п,  Горское ш,  75 Санкт-Петербург,  Левашово п,  Труда ул,  5,  А Санкт-Петербург,  Левашово п,  Труда ул,  8,  Б Санкт-Петербург,  Левашово п,  Труда ул,  10,  А Санкт-Петербург,  Левашово п,  Труда ул,  10,  А Санкт-Петербург,  Левашово п,  Труда ул,  10,  А Санкт-Петербург,  Левашово п,  Труда ул,  12 Санкт-Петербург,  Левашово п,  Труда ул,  12,  А Санкт-Петербург,  Левашово п,  Дружбы ул,  2 Санкт-Петербург,  Левашово п,  Дружбы ул,  4,  А Санкт-Петербург,  Левашово п,  Дружбы ул,  5,  А Санкт-Петербург,  Левашово п,  Дружбы ул,  6,  А Санкт-Петербург,  Левашово п,  Труда ул,  14,  А Санкт-Петербург,  Левашово п,  Труда ул,  16 Санкт-Петербург,  Левашово п,  Труда ул,  16,  а,  А Санкт-Петербург,  Левашово п,  Труда ул,  17 Санкт-Петербург,  Левашово п,  Труда ул,  17 Санкт-Петербург,  Левашово п,  Труда ул,  18 Санкт-Петербург,  Левашово п,  Труда ул,  19,  А Санкт-Петербург,  Левашово п,  Труда ул,  25 Санкт-Петербург,  Левашово п,  Труда ул,  26 Санкт-Петербург,  Левашово п,  Труда ул,  30 Санкт-Петербург,  Левашово п,  Труда ул,  32,  А Санкт-Петербург,  Левашово п,  Труда ул,  32,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  8,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  6,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  8 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  10,  а,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  12 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  12 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  16,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  16,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  16,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  18 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  18 Санкт-Петербург,  Левашово п,  Труда ул,  28,  А Санкт-Петербург,  Левашово п,  Труда ул,  28,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  8,  Б Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  7 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  5 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  8 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  2 Санкт-Петербург,  Левашово п,  Горское ш,  71,  2 Санкт-Петербург,  Левашово п,  Горское ш,  71,  3 Санкт-Петербург,  Левашово п,  Горское ш,  71,  4 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  8,  ,  лит.А Санкт-Петербург,  Левашово п,  Труда ул,  13,  ,  лит.Б Санкт-Петербург,  Левашово п,  Труда ул,  36,  ,  лит.А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  3 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  6 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  8 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  10,  1 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  10,  2 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  12 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  14 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  15 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  16 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  17,  лит.А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  20 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  21 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  22 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  24 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  25 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  26 Санкт-Петербург,  Левашово п,  Горское ш,  71,  7 Санкт-Петербург,  Левашово п,  Горское ш,  73,  1 Санкт-Петербург,  Левашово п,  Горское ш,  73,  3 Санкт-Петербург,  Левашово п,  Горское ш,  73,  4 Санкт-Петербург,  Левашово п,  Горское ш,  73,  5 Санкт-Петербург,  Левашово п,  Горское ш,  73,  6 Санкт-Петербург,  Левашово п,  Горское ш,  73,  7 Санкт-Петербург,  Левашово п,  Горское ш,  73,  8 Санкт-Петербург,  Левашово п,  Горское ш,  77,  1 Санкт-Петербург,  Левашово п,  Горское ш,  77,  2 Санкт-Петербург,  Левашово п,  Горское ш,  77,  3 Санкт-Петербург,  Левашово п,  Горское ш,  77,  4 Санкт-Петербург,  Левашово п,  Горское ш,  77,  5 Санкт-Петербург,  Левашово п,  Горское ш,  77,  6 Санкт-Петербург,  Левашово п,  Горское ш,  77,  8 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  6 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  27 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  28 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  29 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  30 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  31 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  33 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  19,  2 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  3,  2 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  4 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  3 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  2 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  2 Санкт-Петербург,  Левашово п,  перекресток Горскогош. и Ленинградского,  . Санкт-Петербург,  Левашово п,  Маяковского ул,  31,  2,  лит.А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  5 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  7,  а Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  9 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  11 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  1 Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  1 Санкт-Петербург,  Левашово п,  Труда ул,  22,  лит.А Санкт-Петербург,  Левашово п,  Труда ул,  6,  ,  лит. А Санкт-Петербург,  Левашово п,  Труда ул,  уч.1 (восточнее д.4. лит.А по ул. Труда) Санкт-Петербург,  Левашово п,  Труда ул,  уч.1 (восточнее д.4. лит.А по ул. Труда) Санкт-Петербург,  Левашово п,  Железнодорожная ул,  уч.4а Санкт-Петербург,  Левашово п,  Железнодорожная ул,  уч.4а Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  уч.2 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  уч.2 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  3 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  1 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  5 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  7 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  9 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  9 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  а Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  16 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  18 Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  20 Санкт-Петербург,  Левашово п,  Труда ул,  10,  лит.А Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  22 Санкт-Петербург,  Левашово п,  Горское ш,  69,  лит.А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  10,  а Санкт-Петербург,  Левашово п,  Железнодорожная ул,  14,  1 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  14,  2 Санкт-Петербург,  Левашово п,  Железнодорожная ул,  6,  лит.А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  4,  участок Санкт-Петербург,  Левашово п,  Железнодорожная ул,  4,  участок Санкт-Петербург,  Левашово п,  Труда ул,  7,  1 Санкт-Петербург,  Левашово п,  Труда ул,  7,  2 Санкт-Петербург,  Левашово п,  Труда ул,  3 Санкт-Петербург,  Левашово п,  Труда ул,  11,  А Санкт-Петербург,  Левашово п,  Маяковского ул,  31,  2,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  21,  А Санкт-Петербург,  Левашово п,  Дружбы ул,  3,  А Санкт-Петербург,  Левашово п,  Горское ш,  51,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  27,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  16,  А Санкт-Петербург,  Левашово п,  Труда ул,  6,  б Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  6,  лит.А Санкт-Петербург,  Левашово п,  Труда ул,  36,  А Санкт-Петербург,  Левашово п,  Труда ул,  3,  А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  23 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  15,  А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  4 Санкт-Петербург,  Левашово п,  Ленинградское ш,  18,  А Санкт-Петербург,  Левашово п,  Труда ул,  6,  А Санкт-Петербург,  Левашово п,  Горское ш,  71,  5 Санкт-Петербург,  Левашово п,  Ленинградское ш,  3,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  32,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  10,  а,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  30,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  12,  2,  В Санкт-Петербург,  Левашово п,  Труда ул,  20,  А Санкт-Петербург,  Левашово п,  Труда ул,  20 Санкт-Петербург,  Левашово п,  Труда ул,  21,  А Санкт-Петербург,  Левашово п,  Труда ул,  21,  А Санкт-Петербург,  Левашово п,  Труда ул,  19 Санкт-Петербург,  Левашово п,  Горское ш,  67,  А Санкт-Петербург,  Левашово п,  Горское ш,  73,  2 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  7,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  4,  А Санкт-Петербург,  Левашово п,  Труда ул,  9,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  24,  А Санкт-Петербург,  Левашово п,  Труда ул,  4,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  14,  А Санкт-Петербург,  Левашово п,  Труда ул,  30,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  23,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  7,  А Санкт-Петербург,  Левашово п,  Труда ул,  34,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  5,  А Санкт-Петербург,  Левашово п,  Труда ул,  23,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  16,  А Санкт-Петербург,  Левашово п,  Железнодорожная ул,  12,  Б Санкт-Петербург,  Левашово п,  Ленинградское ш,  1,  А Санкт-Петербург,  Левашово п,  Дружбы ул,  2,  А Санкт-Петербург,  Левашово п,  Трансформаторный Пер.,  19,  1 Санкт-Петербург,  Левашово п,  Труда ул,  24,  Б Санкт-Петербург,  Левашово п,  Труда ул,  24,  Б Санкт-Петербург,  Левашово п,  Трансформаторный пер,  3,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  2,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  6,  А Санкт-Петербург,  Левашово п,  Труда ул,  15,  А Санкт-Петербург,  Левашово п,  Ленинградское ш,  20,  А Санкт-Петербург,  Левашово п,  Ленинградское Шоссе,  10,  1 Санкт-Петербург,  Левашово п,  Ленинградское ш,  5,  Б Санкт-Петербург,  Левашово п,  Трансформаторный пер,  17,  А Санкт-Петербург,  Левашово п,  Труда ул,  6,  Б,  А Санкт-Петербург,  Левашово п,  Трансформаторный пер,  8,  А Санкт-Петербург,  Левашово п,  Горское ш,  77,  7 Санкт-Петербург,  Левашово п,  Труда ул,  13,  Б Санкт-Петербург,  Левашово п,  Горское ш,  122 Санкт-Петербург,  Левашово п,  Горское ш,  122 Санкт-Петербург,  Левашово п,  Трансформаторный пер,  3,  2,  А;26-09-2023;09:00;26-09-2023;17:00;Северные электрические сети;Песочинский РЭС;
Ленинградская область;Кировский район (ЛО);п. Дачное,  д. Новинка,  д. Горы,    СНТ: Новинка,  Дачное,  Вперёд,  Геолог,  Электросила-3,  ТЭЦ-2,   Электросила,  Бугры,  Завод им. Ленина,  Ленгазовец,  Невский Завод.;МАССИВ Горы-1;26-09-2023;09:00;26-09-2023;18:00;Новоладожские ЭС;Волховский РЭС;Работы для улучшения качества и надежности электроснабжения потребителей в период низких температур и неблагоприятных погодных условий (с включением потребителей на ночь).
Ленинградская область;Волосовский район;Пружицы,  Корчаны;;26-09-2023;09:00;26-09-2023;17:00;Кингисеппские ЭС;Кингисеппский РЭС;
Санкт-Петербург;Курортный район;п.Лисий Нос;Морские Дубки ул,  д.28  ,  Морские Дубки ул,  д.31  ,  Морские Дубки ул,  д.33  ,  Морские Дубки ул,  д.37  ,  Пограничная ул,  д.32 А ,  Пограничная ул,  д.49  ,  Пограничная ул,  д.50  ,  Пограничная ул,  д.51  ,  Пограничная ул,  д.53  ,  Пограничная ул,  д.54  ,  Пограничная ул,  д.59 А ,  Пограничная ул,  д.62  ,  Пограничная ул,  д.64  ,  Морские Дубки ул,  д.37 А ,  Морские Дубки ул,  д.38  ,  Морские Дубки ул,  д.39  ,  Морские Дубки ул,  д.41 А ,  Пограничная ул,  д.38 А ,  Пограничная ул,  д.50 А ,  Пограничная ул,  д.58  ,  Пограничная ул,  д.59  ,  Пограничная ул,  д.61  ,  Пограничная ул,  д.62 А ,  Морские Дубки ул,  д.29  ,  Морские Дубки ул,  д.43  ,  Пограничная ул,  д.64 А ,  Морские Дубки ул,  д.40  ,  Пограничная ул,  д.52  ,  Пограничная ул,  д.  уч. 7,  Морские Дубки ул,  д.32  лит.А,  Морские Дубки ул,  д.34  лит.А,  Морские Дубки ул,  д.41  лит.А,  Морские Дубки ул,  д.29  лит.Б,  Пограничная ул,  д.56  ,  пом.1,  Пограничная ул,  д.  уч. 18,  Пограничная ул,  д.56  ,  пом.2,  Пограничная ул,  д.52 А ,  Пограничная ул,  д.51 А ,  Морские Дубки ул,  д.42  ,  Пограничная ул,  д.10 А ,  Морские Дубки ул,  д.29 А ,  Морские Дубки ул,  д.34 А ,  Морские Дубки ул,  д.53 А ,  Пограничная ул,  д.54 А ,  Пограничная ул,  д.53 А ,  Морские Дубки ул,  д.36 А ,  Пограничная ул,  д.40 А ,  Морские Дубки ул,  д.41 Б ,  Морские Дубки ул,  д.32 А ,  Пограничная ул,  д.49 А ,  Пограничная ул,  д.60 А ,  Морские Дубки ул,  д.29 Б ,  Морские Дубки ул,  д.30 А ,  Морские Дубки ул,  д.39 А ,  Морские Дубки ул,  д.31 А ,  Пограничная ул,  д.56 А ,  Пограничная ул,  д.30 А ,  Пограничная ул,  д.49  ,  лит.А,  Морские Дубки ул,  д.50 А ,  Морские Дубки ул,  д.40 А ,  Пограничная ул,  д.58 А ,  Пограничная ул,  д.61 А ,  Пограничная ул,  д.41 А;26-09-2023;09:00;26-09-2023;20:00;Северные электрические сети;Курортный РЭС;ремонт ВЛ-0,4кВ
Ленинградская область;Тихвинский район;д. Паголда ТП 143-22-20;;26-09-2023;09:00;26-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;Планируемое время отключения не более 5-ти часов
Санкт-Петербург;Фрунзенский район;г. Санкт-Петербург;Будапештская ул.,  д. 3,  лит. А.;25-09-2023;11:00;25-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;ул. Долгоозерная д. 12 к. 2.;25-09-2023;11:00;25-09-2023;15:00;Кабельная сеть;Западный РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;ул. Яхтенная д. 32 к. 2,  ул. Яхтенная д. 32 к. 3,  ул. Яхтенная д. 32 к. 4;25-09-2023;10:00;25-09-2023;17:00;Кабельная сеть;Западный РЭС;
Ленинградская область;Всеволожский район;пром зона Птице фабрика невская,  д. Аньялово.;;25-09-2023;10:00;25-09-2023;17:00;Северные электрические сети;Сертоловский РЭС;
Санкт-Петербург;Фрунзенский район;Санкт-Петербург;Волковский пр. д. 32;25-09-2023;10:00;25-09-2023;20:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Петроградский район;Санкт-Петербург;Петровский пр.,  д. 1,  д. 3,  д. 5 стр. 1,  д. 16;25-09-2023;10:00;25-09-2023;18:00;Кабельная сеть;Островной РЭС;Перевод нагрузки на ТП 1501
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;"Пискаревский пр.,  д.35,  37; М.Блюхера пр.,  д.38/2";25-09-2023;10:00;25-09-2023;21:00;Кабельная сеть;Восточный РЭС;
Ленинградская область;Гатчинский район;д. Покровская,  д. Антелево;;25-09-2023;10:00;25-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;
Санкт-Петербург;Курортный район;п.Комарово;Щучье Озеро,  д.3 (участок 1), берег Щучьего озера,  д.5 , Берег Щучьего Озера тер,  д.3;25-09-2023;09:00;25-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Санкт-Петербург;Курортный район;п.Комарово;Берег Щучьего Озера тер,  д.2 , Щучье Озеро,  д.2 , Щучье Озеро,  д.2Б;25-09-2023;09:00;25-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Санкт-Петербург;Курортный район;п.Комарово;Берег Щучьего Озера тер,  д.2 , Щучье Озеро,  д.2 , Щучье Озеро,  д.2Б;25-09-2023;09:00;25-09-2023;20:00;Северные электрические сети;Курортный РЭС;Установка УТКЗ
Ленинградская область;Выборгский район (ЛО);п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь);СНТ Акватория,  ПДК Балтийская Ривьера, ДНП Старое Приветнинское ,  СНТ Улис ,  СНТ Онега,  СНТ Ручей,  СНТ Руские мельницы,  СНТ Омега ДНП Золотые Пески,  магазин Стройудача,  СНТ Озерное,  ДНП Приморье 1,  Т/Б Разлив КП Крутой берег,  НП Новое Комарово,  СНТ Зеленая Поляна СНТ Полянки,  СНТ Финский Бриз,  СНТ Морские терассы,  СНТ Стрела;25-09-2023;09:00;29-09-2023;19:00;Выборгские ЭС;Рощинский РЭС;
Ленинградская область;Волосовский район;Пружицы,  Голятицы;;25-09-2023;09:00;25-09-2023;17:00;Кингисеппские ЭС;Кингисеппский РЭС;
Санкт-Петербург;Курортный район;п.Лисий Нос;Морские Дубки ул,  д.28  ,  Морские Дубки ул,  д.31  ,  Морские Дубки ул,  д.33  ,  Морские Дубки ул,  д.37  ,  Пограничная ул,  д.32 А ,  Пограничная ул,  д.49  ,  Пограничная ул,  д.50  ,  Пограничная ул,  д.51  ,  Пограничная ул,  д.53  ,  Пограничная ул,  д.54  ,  Пограничная ул,  д.59 А ,  Пограничная ул,  д.62  ,  Пограничная ул,  д.64  ,  Морские Дубки ул,  д.37 А ,  Морские Дубки ул,  д.38  ,  Морские Дубки ул,  д.39  ,  Морские Дубки ул,  д.41 А ,  Пограничная ул,  д.38 А ,  Пограничная ул,  д.50 А ,  Пограничная ул,  д.58  ,  Пограничная ул,  д.59  ,  Пограничная ул,  д.61  ,  Пограничная ул,  д.62 А ,  Морские Дубки ул,  д.29  ,  Морские Дубки ул,  д.43  ,  Пограничная ул,  д.64 А ,  Морские Дубки ул,  д.40  ,  Пограничная ул,  д.52  ,  Пограничная ул,  д.  уч. 7,  Морские Дубки ул,  д.32  лит.А,  Морские Дубки ул,  д.34  лит.А,  Морские Дубки ул,  д.41  лит.А,  Морские Дубки ул,  д.29  лит.Б,  Пограничная ул,  д.56  ,  пом.1,  Пограничная ул,  д.  уч. 18,  Пограничная ул,  д.56  ,  пом.2,  Пограничная ул,  д.52 А ,  Пограничная ул,  д.51 А ,  Морские Дубки ул,  д.42  ,  Пограничная ул,  д.10 А ,  Морские Дубки ул,  д.29 А ,  Морские Дубки ул,  д.34 А ,  Морские Дубки ул,  д.53 А ,  Пограничная ул,  д.54 А ,  Пограничная ул,  д.53 А ,  Морские Дубки ул,  д.36 А ,  Пограничная ул,  д.40 А ,  Морские Дубки ул,  д.41 Б ,  Морские Дубки ул,  д.32 А ,  Пограничная ул,  д.49 А ,  Пограничная ул,  д.60 А ,  Морские Дубки ул,  д.29 Б ,  Морские Дубки ул,  д.30 А ,  Морские Дубки ул,  д.39 А ,  Морские Дубки ул,  д.31 А ,  Пограничная ул,  д.56 А ,  Пограничная ул,  д.30 А ,  Пограничная ул,  д.49  ,  лит.А,  Морские Дубки ул,  д.50 А ,  Морские Дубки ул,  д.40 А ,  Пограничная ул,  д.58 А ,  Пограничная ул,  д.61 А ,  Пограничная ул,  д.41 А;25-09-2023;09:00;25-09-2023;20:00;Северные электрические сети;Курортный РЭС;ремонт ВЛ-0,4кВ
Ленинградская область;Тосненский район;г.Любань;Октября,  Калинина,  Чкалова,  Пушкина;25-09-2023;09:00;25-09-2023;18:00;Гатчинские ЭС;Тосненский РЭС;Обрезка крон деревьев.
Ленинградская область;Тосненский район;г.Любань;Октября,  Калинина,  Чкалова,  Пушкина;25-09-2023;09:00;25-09-2023;18:00;Гатчинские ЭС;Тосненский РЭС;Обрезка крон деревьев.
Ленинградская область;Бокситогорский район;с. Сомино,  д.Забелье,  д. Вожани.;Ярославская,  Белозерка,  Набережная,  Колхозная,  Советская д.1-50;25-09-2023;06:00;25-09-2023;18:00;Тихвинские ЭС;Бокситогорский РЭС;
Санкт-Петербург;Невский район;г. Санкт-Петербург;ул. Седова,  д. 95,  к.2,  к.3.;24-09-2023;10:00;24-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Колпинский район;п. Металлострой;пром зона Металлострой;24-09-2023;10:00;24-09-2023;16:00;Южные электрические сети;Колпинский РЭС;
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;пр.Мечникова,  д.19,  17,  21;24-09-2023;10:00;24-09-2023;20:00;Кабельная сеть;Восточный РЭС;
Ленинградская область;Бокситогорский район;ДРП,  ГРС,  Артскважина СХТ,  СХТ Гаражи,  СХТ-дет.сад. п.Сельхозтехника д.9,  ч/сектор;;23-09-2023;10:00;23-09-2023;15:00;Тихвинские ЭС;Бокситогорский РЭС;
Санкт-Петербург;Пушкинский район;г. Пушкин;Саперная. д. 55 к1с1,  к1с2,  к1с3;22-09-2023;22:00;23-09-2023;07:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Тосненский район;п. Рябово;Мысленская,  Восточная,  Заводская,  Набережная,  Заречная;22-09-2023;17:00;22-09-2023;18:00;Гатчинские ЭС;Тосненский РЭС;В связи с производством оперативных переключений по ф.717-07
Ленинградская область;Лодейнопольский район;д.Старая Слобода;Центр;22-09-2023;13:00;22-09-2023;16:00;Новоладожские ЭС;Лодейнопольский РЭС;
Санкт-Петербург;Невский район;г. Санкт-Петербург;"ул. Ольги Берггольц,  д. 12,  лит.А; ул. Бабушкина,  д. 14,  лит.А.";22-09-2023;11:00;22-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Выборгский район (СПб);Санкт-Петербург;Ивана Фомина д. 9. пр. Просвещения д. 35;22-09-2023;11:00;22-09-2023;17:00;Кабельная сеть;Северный РЭС;
Санкт-Петербург;Фрунзенский район;Санкт-Петербург;Нефтяная дорога д. 3 стр. 1;22-09-2023;11:00;22-09-2023;15:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Фрунзенский район;Санкт-Петербург;"Лиговский пр. д. 179 л.А; д.183 л.А; д.185 л.А.";22-09-2023;11:00;22-09-2023;15:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;Красногвардейская площадь, д3;22-09-2023;10:30;22-09-2023;17:00;Кабельная сеть;Правобережный РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;бул. Серебристый д. 9 к. 2 (школа № 43),  бул. Серебристый д. 11 к. 2 (Д/С № 13) (К-к 7533),  бул. Серебристый д. 11 к. 1 (К-к № 7537),  бул. Серебристый д. 13 (К-к № 7536),  бул. Серебристый д. 15 (ГРЩ-1,  ГРЩ-2) (К-к № 7535);22-09-2023;10:00;22-09-2023;18:00;Кабельная сеть;Западный РЭС;
